ruc	registrado	nombre_ppa	fecha_consulta
20527491232	true	RECOLECTORES ORGANICOS DE LA NUEZ AMAZONICA DEL PERU	2026-09-20T00:32:24.606Z
20527492638	true	COMUNIDAD NATIVA SHIPETIARI	2026-09-20T00:32:24.606Z
20527504741	true	ASOCIACION DE AGRICULTORES DE QQUEROHUASI	2026-09-20T00:32:24.606Z
20527565376	true	COOPERATIVA AGRARIA CAFETALERA VALLE DE INCAHUASI	2026-09-20T00:32:24.606Z
20527622434	true	ASOCIACION DE PRODUCTORES LACTEOS DE CUATRO LAGUNAS POMACANCHI	2026-09-20T00:32:24.606Z
20527644675	true	ASOCIACION DE PALMICULTORES SAN JUAN	2026-09-20T00:32:24.606Z
20527890285	true	ASOCIACION DE FRUTICULTORES DEL VALLE PAMPAS- AFRUVAP	2026-09-20T00:32:24.606Z
20528270434	true	ASOCIACION DE PRODUCTORES DE CAMU CAMU DE LAS CUENCAS AMAZONAS NAPO Y TIGRE	2026-09-20T00:32:24.606Z
20528396535	true	ASOCIACION DE PRODUCTORES Y MANEJO DE AGUAJE	2026-09-20T00:32:24.606Z
20528996214	true	COOPERATIVA AGRARIA CAFETALERA MILAGROS - MONZON	2026-09-20T00:32:24.606Z
20529088176	true	PRODUCTORES ASOCIADOS DE PAPA AMARILLA TUMBAY "PAPATY"	2026-09-20T00:32:24.606Z
20529095971	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS NUEVA ALTERNATIVA PRODUCTIVA Y PROTECCION AMBIENTAL	2026-09-20T00:32:24.606Z
20529126523	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS PARAISO DE HORTENSIAS	2026-09-20T00:32:24.606Z
20529538988	true	COOPERATIVA DE SERVICIOS ESPECIALES REDES DE PRODUCTORES DE CUYES DEL CRISNEJAS	2026-09-20T00:32:24.606Z
20529801433	true	OPA MARAY-ULLMA SAN LORENZO	2026-09-20T00:32:24.606Z
20529822350	true	OPA PAPAYO - LA LAGUNA	2026-09-20T00:32:24.606Z
